id,title,genre,image_path,placeholder_auto,placeholder_text,found_phrases,design,face,face_position,text_density,edge_density,negative_space,colors,color_contrast,warm_cold_balance,monochrome
77,Шолох. Тень разрастается,Фэнтези,backend/data/images/77.jpg,False,False,,перегруженная,False,no_face,0.994,0.161,0.839,"[[22, 123, 125], [133, 191, 185], [22, 47, 58]]",61.9,-63.67,False
78,Алая вуаль,Книги,backend/data/images/78.jpg,False,False,,сбалансированная,False,no_face,0.994,0.076,0.924,"[[24, 5, 8], [196, 110, 118], [111, 19, 30]]",63.1,58.33,False
79,Двойной латте в дождливый день (#1),Любовные романы,backend/data/images/79.jpg,False,False,,сбалансированная,False,no_face,0.795,0.128,0.872,"[[216, 197, 199], [83, 46, 45], [176, 129, 124]]",62.42,35.67,False
80,Братья Хоторны,Детективный роман. Триллер,backend/data/images/80.jpg,False,False,,сбалансированная,False,no_face,0.898,0.081,0.919,"[[153, 140, 132], [62, 35, 94], [222, 216, 214]]",64.49,-1.0,False
81,Во главе кошмаров,Фэнтези,backend/data/images/81.jpg,False,False,,сбалансированная,True,top,0.982,0.119,0.881,"[[201, 206, 202], [39, 43, 51], [123, 146, 150]]",65.65,-13.33,False
82,Магистр дьявольского культа. Том 3,Фэнтези,backend/data/images/82.jpg,False,False,,сбалансированная,False,no_face,0.992,0.12,0.88,"[[150, 127, 136], [214, 201, 214], [84, 69, 75]]",55.12,7.67,False
83,Благословение небожителей. Том 5,Фэнтези,backend/data/images/83.jpg,False,False,,сбалансированная,False,no_face,0.555,0.147,0.853,"[[184, 157, 156], [92, 45, 40], [241, 235, 234]]",74.66,29.0,False
84,Граф Аверин. Колдун Российской империи,Детективный роман. Триллер,backend/data/images/84.jpg,False,False,,сбалансированная,True,top,0.992,0.104,0.896,"[[190, 182, 155], [46, 34, 27], [111, 91, 74]]",58.99,30.33,False
85,Удержать 13-го,Любовные романы,backend/data/images/85.jpg,False,False,,сбалансированная,False,no_face,0.994,0.131,0.869,"[[30, 25, 64], [83, 92, 163], [184, 202, 233]]",72.92,-54.33,False
86,Императорский Див. Колдун Российской империи,Детективный роман. Триллер,backend/data/images/86.jpg,False,False,,сбалансированная,False,no_face,0.839,0.099,0.901,"[[150, 151, 144], [55, 57, 56], [205, 211, 204]]",62.08,2.0,False
87,Серебряный змей в корнях сосны - 3,Фэнтези,backend/data/images/87.jpg,False,False,,сбалансированная,True,center,0.994,0.128,0.872,"[[42, 24, 35], [215, 189, 196], [111, 98, 108]]",68.61,9.67,False
88,Преследуя Аделин. Специальное издание,Любовные романы,backend/data/images/88.jpg,False,False,,перегруженная,False,no_face,0.994,0.146,0.854,"[[25, 25, 24], [78, 76, 75], [151, 151, 150]]",51.72,1.67,False
89,Магистр дьявольского культа. Том 4,Фэнтези,backend/data/images/89.jpg,False,False,,сбалансированная,True,bottom,0.99,0.117,0.883,"[[68, 67, 71], [125, 120, 119], [179, 178, 183]]",45.53,-0.33,False
90,Ледяная фантазия,Фэнтези,backend/data/images/90.jpg,False,False,,перегруженная,False,no_face,0.968,0.168,0.832,"[[37, 52, 70], [203, 217, 234], [115, 137, 173]]",69.65,-40.67,False
91,Завет воды: Роман,Современная проза,backend/data/images/91.jpg,False,False,,перегруженная,False,no_face,0.974,0.202,0.798,"[[34, 23, 14], [134, 82, 58], [217, 181, 120]]",67.84,64.33,False
92,Новая весна,Фэнтези,backend/data/images/92.jpg,False,False,,сбалансированная,False,no_face,0.994,0.102,0.898,"[[23, 30, 31], [181, 180, 147], [64, 86, 74]]",59.76,5.33,False
93,Человек недостойный,Классическая проза,backend/data/images/93.jpg,False,False,,сбалансированная,True,top,0.67,0.089,0.911,"[[242, 212, 174], [21, 9, 11], [88, 47, 52]]",85.42,38.0,False
94,Миля над землей,Любовные романы,backend/data/images/94.jpg,False,False,,сбалансированная,False,no_face,0.994,0.135,0.865,"[[139, 171, 197], [44, 43, 49], [15, 116, 169]]",64.11,-72.33,False
95,Ноттингем,Любовные романы,backend/data/images/95.jpg,False,False,,сбалансированная,False,no_face,0.942,0.089,0.911,"[[223, 179, 182], [45, 27, 61], [155, 110, 123]]",64.08,19.0,False
96,"Три жизни, три мира. Десять ли персиковых цветков",Фэнтези,backend/data/images/96.jpg,False,False,,сбалансированная,False,no_face,0.988,0.053,0.947,"[[207, 153, 148], [156, 68, 80], [163, 160, 164]]",40.96,44.67,False
97,Бесконечное Лето: Первая смена,Любовные романы,backend/data/images/97.jpg,False,False,,перегруженная,False,no_face,0.972,0.176,0.824,"[[214, 215, 198], [63, 69, 69], [136, 151, 138]]",58.32,2.67,False
98,Секрет льда,Любовные романы,backend/data/images/98.jpg,False,False,,сбалансированная,False,no_face,0.994,0.104,0.896,"[[141, 120, 139], [49, 41, 52], [225, 214, 210]]",69.36,4.67,False
99,Секрет за секрет,Любовные романы,backend/data/images/99.jpg,False,False,,минималистичная,True,center,0.396,0.112,0.888,"[[198, 186, 185], [88, 70, 95], [234, 233, 235]]",63.16,1.67,False
